Asset ID,Category,Asset Name,Description,Owner,Location,Criticality,Confidentiality,Integrity,Availability,Status
A-001,Equipos instalados,Servidor de archivos,Equipo instalado para necesidades empresariales,IT Manager,Oficina Central,Alta,Alta,Alta,Media,Activo
A-002,Equipos de empleados,Laptop estándar,Portátiles asignadas a empleados,HR,Remoto/Oficina,Media,Media,Media,Alta,Activo
A-003,"Sistemas, software y servicios",Sistema contable,Software de contabilidad y finanzas,Finance Lead,Nube,Alta,Alta,Alta,Alta,Operativo
A-004,Servicios,Acceso a Internet,Servicio de Internet empresarial,IT Manager,Todas las sedes,Alta,Media,Media,Alta,Activo
A-005,Red interna,Switch principal,Infraestructura de red interna,Network Admin,Data Center,Alta,Alta,Alta,Alta,Activo
A-006,Acceso proveedores,Portal proveedores,Gestión de accesos externos,IT Security,Nube,Media,Alta,Media,Media,Operativo
A-007,Hosting,Servidor en la nube,Servicios de alojamiento de centros de datos,Cloud Admin,Nube,Alta,Alta,Alta,Alta,Activo
A-008,Datos,Repositorio de Backups,Retención y almacenamiento de datos,IT Manager,Data Center,Alta,Alta,Alta,Alta,Activo
A-009,Lectores de insignias,Badge Reader Model X,Dispositivos de control de acceso físico,Facilities,Oficina Central,Media,Media,Media,Media,Activo
A-010,Sistemas heredados,Sistema Legacy 1,Sistema al final de vida útil con supervisión humana,IT Manager,Data Center,Alta,Alta,Media,Baja,En transición
